,State,Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
10,AZ,"Fish, Wildlife, Recreation",Havasu Nat'l Wildlife Refuge,,,,,,,,32424,35770,40833,31938,33625,36412,31863,33760,34739,39696,39562,39123,21669,0,0,38236,38231,39263,43192,39229,39710,29374,38929,46718,49446,28841,30811,36641,27848,36894,21481,32326,4478,5657,4081,4509,4870,4669,4581,4534,2907,4449
11,AZ,M&I,Lake Havasu City,,,,,,,,3769,4918,5070,6701,7267,7327,7524,7771,8684,8982,8916,8049,8449,9085,9815,10104,10636,11664,13203,12290,11961,12243,12666,13777,13805,14466,15012,13797,13361,14630,15063,15821,10060,11107,7928,9009,9826,10523,9723,8075,7860,7986
22,AZ,M&I,Graham Water Utilities Inc.,,,,,,,,--,--,--,--,--,--,79,106,109,114,116,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,AZ,M&I,Holiday Harbor Utilities Co.,,,,,,,,--,--,--,--,--,--,3,11,18,27,24,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,AZ,M&I,Town of Parker,,,,,,,,666,697,980,851,857,829,862,857,990,1045,1334,1087,851,851,1610,1008,1120,1635,1107,1030,910,947,1032,1128,1140,1143,1031,1025,930,942,900,624,373,335,347,383,324,286,296,295,304,338
25,AZ,AG,Colorado River Indian Reservation,,,,,,,,297217,269218,303243,298439,339023,300870,343062,315678,332455,348701,379128,333049,279303,282147,298312,297380,358600,370080,427853,418225,390702,357333,371893,419725,425102,476338,392723,351668,343165,392306,342348,384860,358830,327596,329111,351092,362901,396924,401501,378851,343249,325780
26,AZ,M&I,Ehrenburg Improvement Assn,,,,,,,,--,--,--,--,--,--,--,--,--,--,96,119,126,145,173,188,212,229,324,262,305,330,344,379,423,428,499,427,434,441,411,479,378,379,329,340,330,304,262,287,278,199
27,AZ,AG,Cibola Valley IDD,,,,,,,,21400,20900,20500,21200,22389,16936,23530,19741,18015,18846,24302,21159,12145,15580,18770,19789,28222,24336,26192,26997,18988,20273,22145,29546,29210,29223,30883,28952,26920,30085,26302,27069,19352,19355,19181,19296,19348,18918,18650,18523,18553,17456
28,AZ,"Fish, Wildlife, Recreation",Cibola Nat'l Wildlife Refuge,,,,,,,,--,--,--,--,--,13440,11378,9406,13547,15912,12232,8250,6502,5434,6281,6386,6297,10110,12096,10329,17751,16131,11916,8772,10366,14467,15075,6435,8161,14567,11025,13339,8335,6982,6812,8249,8399,10423,10229,11081,8222,9282
29,AZ,"Fish, Wildlife, Recreation",Imperial Nat'l Wildlife Refuge,,,,,,,,114,154,224,144,303,245,155,380,275,337,138,144,26,0,0,0,0,24,210,10329,6656,8002,9000,9000,10000,10000,8000,7000,8000,9000,8000,3000,2073,1496,1188,1035,869,1193,912,1627,645,616
30,AZ,M&I,Yuma Proving Ground,,,,,,,,13,19,7,17,122,54,18,12,8,14,4,16,8,9,8,8,13,18,13,21,12,19,17,17,1329,1381,1039,830,806,923,875,666,573,616,600,728,712,655,673,785,673,551
31,AZ,AG,Warren Act Contractors (includes Sturges),,,,,,,,18201,17590,20555,21319,20229,24007,16392,18109,20035,21664,17235,13242,16877,17005,13881,16952,5043,5518,4799,4941,4083,5847,4534,5354,4648,6529,7961,11702,14628,10798,12474,11433,6585,5763,4744,5384,5303,4157,4518,4181,4384,4725
32,AZ,AG,Welton-Mohawk IDD,,,,,,,,318873,293518,289909,339871,333108,286175,240208,264249,125188,148471,288098,250917,222399,280781,274644,309936,319992,322118,322208,315637,300039,259192,169627,252251,247409,274421,312514,290355,266730,275747,276681,285755,272739,256574,236323,274927,272778,258817,262227,238236,254811,257390
33,AZ,M&I,City of Yuma,,,,,,,,11464,12485,11894,12346,7144,6782,8212,9056,7982,8706,9588,8223,9463,10791,9822,10760,10834,11130,11351,10927,11640,12392,12942,14328,14902,18500,16969,16474,17669,23397,17732,18036,19505,19130,17320,18370,15642,15895,15407,13329,16684,14514
34,AZ,M&I,Marine Corps Air Station (Yuma),,,,,,,,1524,2044,2495,2066,1994,1871,2041,2101,1580,1715,1780,2131,2131,1775,2134,2258,2459,2118,1839,1862,1618,1824,1781,1816,1552,2292,2123,1876,1703,2030,2307,2307,1871,2071,1789,2104,1654,1529,1578,1321,1300,1428
35,AZ,M&I,Southern Pacific Company,,,,,,,,60,60,60,60,60,60,60,60,61,60,60,60,60,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,24,24,24,24,24,24,22,20,24,24
36,AZ,M&I,County of Yuma,,,,,,,,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0,,,,--,,,,,,,--,--,--,--,--,--,--
37,AZ,AG,Yuma Mesa Fruit Growers Assn.,,,,,,,,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,0,0,0,0,0,--
38,AZ,AG,University of Arizona,,,,,,,,899,859,997,921,793,863,618,786,902,945,870,932,839,697,655,717,895,984,917,813,933,932,662,837,905,1131,1200,1044,1090,950,1038,755,617,735,537,323,638,611,597,752,843,766
39,AZ,M&I,Yuma Union High School District,,,,,,,,236,244,243,246,246,657,1138,938,245,258,312,241,254,200,261,259,217,167,172,219,207,317,238,163,150,195,200,226,191,211,200,146,48,143,157,119,230,320,113,165,148,148
40,AZ,AG,Camille Alec Jr.,,,,,,,,96,97,104,105,100,86,32,92,96,97,88,66,29,26,7,5,21,27,25,24,26,27,19,32,34,50,29,2,0,100,16,101,85,27,1,0,0,0,0,0,--,--
41,AZ,M&I,Desert Lawn Memorial,,,,,,,,98,92,111,156,157,127,130,129,137,185,161,180,180,150,53,107,77,105,99,116,119,90,127,137,112,102,2,448,394,447,336,336,91,61,99,102,38,30,90,88,105,88
42,AZ,AG,North Gila Valley IDD,,,,,,,,45018,44713,49413,51334,48909,44599,42153,41078,39764,33663,41822,38403,29305,11136,17755,19328,17552,19675,20109,21446,22301,18396,16918,19296,17925,20646,20599,19532,18567,21060,19275,18417,11818,10174,12408,12495,13410,13977,12224,9744,10720,11636
43,AZ,AG,Yuma Irrigation District,,,,,,,,75475,72804,71645,70567,72646,72689,76167,66744,70503,76593,80768,70533,63374,55364,58766,60590,59693,58886,54530,53494,56150,49529,44975,45040,49981,52073,50875,50736,50590,52729,49171,52631,34034,30269,31324,35858,34859,39327,36648,33803,38799,38488
44,AZ,AG,Yuma Mesa IDD,,,,,,,,251274,229828,236565,235571,226665,219057,211508,206817,224302,230350,241289,204751,185094,191562,201689,211261,224584,218172,190952,211127,180948,191001,190982,198862,201021,203787,188356,179134,179690,179139,150636,159168,89005,93640,104970,76775,74311,64134,71510,84371,96906,123781
45,AZ,AG,"Unit ""B"" Irrigation District",,,,,,,,40824,38461,38497,39832,37436,37225,36726,36759,36644,35522,36747,30614,26864,30716,29127,30701,29913,31684,24681,27283,23339,24827,24095,24339,25734,25231,21282,20969,22414,21565,15980,14314,12466,14312,13997,13174,12625,10030,13467,13950,18432,19987
46,AZ,AG,Fort Yuma Indian Reservation (Quechan),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,1779,1492,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,617,821,440,423,341,757,966
47,AZ,AG,Yuma County Water Users' Assn,,,,,,,,181945,188988,222920,230203,232601,212741,188854,206411,200776,199505,224667,206199,168769,174710,184918,171749,183780,202557,210419,233358,225073,202630,179820,205099,225292,231122,222706,221057,237587,178526,230675,241227,210603,222309,227658,243091,241853,249717,225181,227272,242553,246055
48,AZ,AG,Cocopah Indian Reservation,,,,,,,,976,957,845,1045,857,1291,1490,1734,964,1256,897,970,820,4279,8922,5700,1595,1192,1498,1400,1235,1572,11564,15795,15765,1352,8854,12893,11505,12061,9957,16006,6445,3790,3563,5179,3370,3874,4039,3757,7750,5583
49,AZ,M&I,"Yuma Area Office, USBR",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,12,402,1450,968,968,968,968,850,850,180,1226,153,29,85,872,153,532,323,18
50,AZ,AG,Pumped from South Gila Wells,,,,,,,,"(65,952)","(62,281)","(57,422)","(51,126)","(55,156)","(55,821)","(56,525)","(55,327)","(54,918)","(67,242)","(60,067)","(53,217)","(63,323)","(64,089)","(68,347)","(61,422)","(53,162)","(55,934)","(47,376)","(57,417)","(55,143)","(31,242)","(45,353)","(37,741)","(59,727)","(57,368)","(67,679)","(71,515)","(74,223)","(69,525)","(60,814)","(60,354)",0,0,0,0,0,0,0,0,0,0
51,AZ,AG,Pumped from Yuma Mesa Outlet Drain,,,,,,,,"(1,753)","(32,808)","(58,680)","(58,070)","(56,280)","(46,991)","(40,892)","(31,558)","(17,758)","(23,243)","(47,097)","(50,868)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,AZ,Energy,Yucca Power Plant,,,,,,,,695,853,900,994,825,558,799,959,883,843,779,592,--,--,--,472,372,406,498,475,250,190,371,334,323,728,680,597,775,587,804,926,404,385,344,658,665,719,639,795,539,300
53,AZ,"Fish, Wildlife, Recreation",AZ Game and Fish,,,,,,,,--,--,--,--,--,--,--,193,56,1980,1980,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,AZ,M&I,North Cocopah Wells,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2296,,,,--,--,--,--,--,--,--
55,AZ,"Fish, Wildlife, Recreation",Marble Canyon Company,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,18,24,21,20,27,17,16,18,25,17,11,12,11,9,9
56,AZ,M&I,Crystal Beach Water C. D.,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,90,90,90,90,90,58,64,120,75,70,70,70,104,68,68
57,AZ,"Fish, Wildlife, Recreation",Arizona State Parks (Windsor Beach),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,3,1,22,36,25,25,20,31,12,20,20,20,18,17
58,AZ,M&I,Havasu Water Co of AZ (Citizens Utilities),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,455,389,423,476,651,653,736,420,422,639,553,488,592,509,807,536,514
59,AZ,M&I,Hillcrest Water Co.,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,22,21,0,23,24,32,21,23,32,19,18,18,19,30,10,10
60,AZ,AG,BLM Permitees,,,,,,,,--,--,--,28,45,78,78,66,66,75,76,86,126,126,62,91,102,104,105,104,5,73,149,433,764,859,913,865,954,1122,1254,1179,736,877,894,549,801,634,601,703,575,677
61,AZ,AG,Arizona State Land Department,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,46,43,21,35,16,14
62,AZ,M&I,Fisher's Landing,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,26,20,12
63,AZ,M&I,Shepard Water Company,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,33,18,15
64,AZ,M&I,Cocopah Bend RV Park,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,357,343,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,--,--,--,--,--,--,--
66,AZ,AG,Other Users Pumping from CO River,,,,,,,,48453,48486,46592,46425,60146,43752,40742,38074,45070,24706,26467,21210,18842,19941,23909,33818,52057,49784,48089,35441,44581,43353,34135,34756,35030,34828,33070,30254,32345,51532,50454,34528,14764,17336,16108,15372,17003,14018,14919,13822,14419,14465
67,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,AZ,,Arizona Totals,1127176,1008531,1073055,1106894,1169240,1138085,1201441,1296930,1203043,1268744,1325631,1358003,1248020,1231274,1234942,1150853,1221563,1415850,1240384,1085453,1116116,1194208,1356930,1734172,1922737,2229698,2260272,1864360,1906071,2246695,2152411,2221346,2714754,2853886,2566707,2727960,2802758,2841028,2969230,2830599,2784645,2428469,2782866,2783323,2752497,2831711,2780367,2781108,2789667
69,AZ,,Estimated unmeasured return flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23284,,,,,,,,,,,207415,192537,161955,156912,143842,148258,169243,153216,163244,,,,,,,,,,
70,AZ,,AZ Totals,1127176,1008531,1073055,1106894,1169240,1138085,1201441,1296930,1203043,1268744,1325631,1358003,1248020,1231274,1234942,1150853,1221563,1415850,1240384,1062169,1116116,1194208,1356930,1734172,1922737,2229698,2260272,1864360,1906071,2246695,1944996,2028809,2552799,2696974,2422865,2579702,2633515,2687812,2805986,2830599,2784645,2428469,2782866,2783323,2752497,2831711,2780367,2781108,2789667
